date,views,missing_pages
2015-07-01,148672476.0,20740
2015-07-02,149593840.0,20816
2015-07-03,141164198.0,20544
2015-07-04,145612937.0,20654
2015-07-05,151495372.0,20659
2015-07-06,160742234.0,20483
2015-07-07,154147373.0,20664
2015-07-08,148860911.0,20294
2015-07-09,149532135.0,20244
2015-07-10,148374487.0,20342
2015-07-11,145311879.0,20525
2015-07-12,161476064.0,20485
2015-07-13,162094487.0,20399
2015-07-14,162050605.0,20140
2015-07-15,151989235.0,20106
2015-07-16,153778535.0,19987
2015-07-17,151494233.0,20048
2015-07-18,145816963.0,20295
2015-07-19,152532492.0,20142
2015-07-20,157454666.0,19979
2015-07-21,150171972.0,19688
2015-07-22,149541897.0,19573
2015-07-23,144103064.0,19581
2015-07-24,136380422.0,19593
2015-07-25,133951531.0,19589
2015-07-26,143817681.0,19865
2015-07-27,148411035.0,19759
2015-07-28,146099674.0,19553
2015-07-29,161641638.0,19347
2015-07-30,136648822.0,19592
2015-07-31,131697023.0,19708
2015-08-01,127190355.0,19640
2015-08-02,139119487.0,19844
2015-08-03,137409036.0,19842
2015-08-04,151451701.0,19595
2015-08-05,150381812.0,19607
2015-08-06,151661232.0,19424
2015-08-07,151518453.0,19528
2015-08-08,145254353.0,19525
2015-08-09,152239560.0,19320
2015-08-10,150036703.0,19370
2015-08-11,152812232.0,19385
2015-08-12,153955761.0,19507
2015-08-13,153464486.0,19317
2015-08-14,150248544.0,19272
2015-08-15,148954809.0,19320
2015-08-16,158274375.0,19213
2015-08-17,160869797.0,18954
2015-08-18,158093749.0,19104
2015-08-19,151358109.0,18954
2015-08-20,146749726.0,18923
2015-08-21,145025597.0,19012
2015-08-22,144240800.0,18973
2015-08-23,163309505.0,19039
2015-08-24,164491327.0,18781
2015-08-25,164452851.0,18704
2015-08-26,155374496.0,18526
2015-08-27,156413916.0,18870
2015-08-28,149914206.0,18691
2015-08-29,145510774.0,18926
2015-08-30,157754907.0,18993
2015-08-31,166277162.0,18915
2015-09-01,156937034.0,18793
2015-09-02,158601169.0,18716
2015-09-03,157630547.0,18404
2015-09-04,150611885.0,18412
2015-09-05,151151117.0,18464
2015-09-06,162415174.0,18543
2015-09-07,169077653.0,18296
2015-09-08,165248873.0,18263
2015-09-09,162482119.0,18448
2015-09-10,156543705.0,18497
2015-09-11,156699645.0,18329
2015-09-12,150833172.0,18279
2015-09-13,169134067.0,18235
2015-09-14,165657606.0,18407
2015-09-15,158982976.0,18313
2015-09-16,157353694.0,18177
2015-09-17,163342201.0,18097
2015-09-18,154806330.0,18207
2015-09-19,150125990.0,18244
2015-09-20,167435558.0,18345
2015-09-21,176659471.0,18231
2015-09-22,168812357.0,18345
2015-09-23,175807587.0,18155
2015-09-24,161348799.0,18067
2015-09-25,154848840.0,18015
2015-09-26,150540220.0,18102
2015-09-27,165804639.0,18153
2015-09-28,174610204.0,17812
2015-09-29,163208183.0,17897
2015-09-30,165359611.0,17807
2015-10-01,159729851.0,17759
2015-10-02,155795214.0,17695
2015-10-03,159221338.0,17835
2015-10-04,172337536.0,17714
2015-10-05,170531955.0,17594
2015-10-06,164037637.0,17528
2015-10-07,166406710.0,17598
2015-10-08,165902150.0,17725
2015-10-09,163346682.0,17771
2015-10-10,162959562.0,17746
2015-10-11,174807551.0,17844
2015-10-12,181003437.0,17419
2015-10-13,178014236.0,17425
2015-10-14,181375001.0,17244
2015-10-15,172466118.0,17146
2015-10-16,155746029.0,17356
2015-10-17,155426596.0,17275
2015-10-18,170015238.0,17337
2015-10-19,175443504.0,17411
2015-10-20,176143573.0,17206
2015-10-21,176395808.0,17150
2015-10-22,171589591.0,16965
2015-10-23,163469030.0,17189
2015-10-24,158471536.0,17513
2015-10-25,173615017.0,17238
2015-10-26,177435448.0,17216
2015-10-27,177844733.0,17149
2015-10-28,173554821.0,17196
2015-10-29,167300911.0,16743
2015-10-30,161036404.0,16810
2015-10-31,155072944.0,17079
2015-11-01,165271818.0,17094
2015-11-02,179109144.0,17078
2015-11-03,173602617.0,15734
2015-11-04,173112003.0,15714
2015-11-05,173084074.0,15791
2015-11-06,163135305.0,15841
2015-11-07,160246589.0,15930
2015-11-08,175515680.0,15825
2015-11-09,179421475.0,15769
2015-11-10,175594901.0,15699
2015-11-11,174412750.0,15842
2015-11-12,170172049.0,15761
2015-11-13,161695888.0,15895
2015-11-14,164022358.0,15911
2015-11-15,180621132.0,15852
2015-11-16,181868062.0,15835
2015-11-17,182733049.0,15974
2015-11-18,176478948.0,15734
2015-11-19,172565447.0,15419
2015-11-20,164625272.0,15872
2015-11-21,170373706.0,15888
2015-11-22,184697169.0,15743
2015-11-23,186522723.0,15620
2015-11-24,181409158.0,15662
2015-11-25,177216326.0,15793
2015-11-26,168996036.0,15599
2015-11-27,164612764.0,15735
2015-11-28,167663357.0,15847
2015-11-29,179406891.0,15778
2015-11-30,184493520.0,15644
2015-12-01,173646117.0,15449
2015-12-02,172110829.0,15324
2015-12-03,170904398.0,15184
2015-12-04,165383658.0,15354
2015-12-05,161666188.0,15480
2015-12-06,177078169.0,15335
2015-12-07,186939359.0,15338
2015-12-08,174571574.0,15060
2015-12-09,169804323.0,15245
2015-12-10,165447062.0,15187
2015-12-11,162505558.0,15188
2015-12-12,160705761.0,15128
2015-12-13,177156499.0,14884
2015-12-14,178890458.0,14970
2015-12-15,168066749.0,14900
2015-12-16,168040435.0,14846
2015-12-17,166087599.0,14814
2015-12-18,164489574.0,14883
2015-12-19,161847432.0,14966
2015-12-20,174047856.0,14498
2015-12-21,174412131.0,14695
2015-12-22,165007059.0,14710
2015-12-23,165738628.0,14647
2015-12-24,155818781.0,14642
2015-12-25,161236343.0,14667
2015-12-26,181728087.0,14518
2015-12-27,179218273.0,14521
2015-12-28,178557251.0,14247
2015-12-29,175313506.0,14253
2015-12-30,167921806.0,14286
2015-12-31,166705423.0,14303
2016-01-01,182017309.0,14415
2016-01-02,194359465.0,14150
2016-01-03,200097562.0,14313
2016-01-04,198959845.0,14138
2016-01-05,187263054.0,14010
2016-01-06,188006324.0,13950
2016-01-07,185596487.0,13890
2016-01-08,185589271.0,13879
2016-01-09,191662967.0,13787
2016-01-10,206566069.0,13861
2016-01-11,260602830.0,13712
2016-01-12,214903501.0,13425
2016-01-13,195717008.0,13390
2016-01-14,209004706.0,13396
2016-01-15,199299164.0,13514
2016-01-16,197564902.0,13625
2016-01-17,208146537.0,13667
2016-01-18,208067119.0,13448
2016-01-19,205162347.0,13260
2016-01-20,195518259.0,13355
2016-01-21,193388090.0,13176
2016-01-22,196909305.0,13248
2016-01-23,188554427.0,13222
2016-01-24,203675201.0,13016
2016-01-25,210515517.0,12932
2016-01-26,197911974.0,13019
2016-01-27,197396154.0,12897
2016-01-28,186711859.0,12750
2016-01-29,184707186.0,12652
2016-01-30,186858017.0,12652
2016-01-31,208279202.0,12550
2016-02-01,209597258.0,12700
2016-02-02,215143847.0,12744
2016-02-03,213326977.0,12709
2016-02-04,196514985.0,12673
2016-02-05,194171540.0,12696
2016-02-06,183149769.0,12501
2016-02-07,204065816.0,12595
2016-02-08,226685561.0,12525
2016-02-09,200927608.0,12636
